Sample_ID,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,New_Average
10309457,41566,Hard Coral,15,20,30,5,17.5
10309457,55924,Fleshy Seaweed,0,0,0,0,0
10309458,41567,Hard Coral,60,55,60,52.5,56.875
10309458,55925,Fleshy Seaweed,0,0,0,0,0
10309459,41569,Hard Coral,10,22.5,27.5,17.5,19.375
10309459,55927,Fleshy Seaweed,12.5,2.5,0,0,3.75
10309460,41570,Hard Coral,65,52.5,55,50,55.625
10309460,55928,Nutrient Indicator Algae,0,0,0,0,0
10309461,41572,Hard Coral,65,65,60,40,57.5
10309461,55929,Nutrient Indicator Algae,0,0,0,0,0
10309462,41574,Hard Coral,55,22.5,70,37.5,46.25
10309462,55932,Nutrient Indicator Algae,0,0,0,0,0
10309463,41575,Hard Coral,80,52.5,65,40,59.375
10309463,55933,Nutrient Indicator Algae,0,0,0,0,0
10309464,41571,Hard Coral,62.5,32.5,60,60,53.75
10309464,55930,Nutrient Indicator Algae,0,0,0,0,0
10309465,41573,Hard Coral,80,87.5,82.5,62.5,78.125
10309465,55931,Nutrient Indicator Algae,0,0,0,0,0
10309466,41576,Hard Coral,30,22.5,22.5,5,20
10309466,55934,Nutrient Indicator Algae,0,0,0,0,0
10309467,41577,Hard Coral,80,70,75,55,70
10309467,55935,Nutrient Indicator Algae,0,0,0,0,0
10309468,41578,Hard Coral,27.5,5,20,20,18.125
10309468,55937,Nutrient Indicator Algae,0,0,0,0,0
10309469,41580,Hard Coral,30,20,62.5,95,51.875
10309469,55938,Nutrient Indicator Algae,0,0,0,0,0
10309470,41579,Hard Coral,37.5,40,30,0,26.875
10309470,55936,Nutrient Indicator Algae,0,0,0,0,0
10309471,41581,Hard Coral,10,5,42.5,27.5,21.25
10309471,55939,Nutrient Indicator Algae,0,0,0,0,0
10309472,41582,Hard Coral,2.5,0,15,0,4.375
10309472,55940,Nutrient Indicator Algae,0,0,0,0,0
10309473,41583,Hard Coral,20,30,27.5,40,29.375
10309473,55941,Nutrient Indicator Algae,5,2.5,0,2.5,2.5
10309474,41584,Hard Coral,37.5,15,20,25,24.375
10309474,55942,Nutrient Indicator Algae,0,0,0,0,0
10309475,41585,Hard Coral,32.5,35,40,17.5,31.25
10309475,55943,Nutrient Indicator Algae,7.5,10,2.5,10,7.5
10309476,41587,Hard Coral,42.5,35,25,20,30.625
10309476,55944,Nutrient Indicator Algae,0,0,0,0,0
10309477,41586,Hard Coral,52.5,55,5,35,36.875
10309477,55945,Nutrient Indicator Algae,17.5,5,20,7.5,12.5
10309478,41588,Hard Coral,82.5,90,92.5,85,87.5
10309478,55946,Nutrient Indicator Algae,0,0,0,0,0
10309479,41590,Hard Coral,67.5,65,72.5,57.5,65.625
10309479,55948,Fleshy Seaweed,0,0,0,0,0
10309480,41589,Hard Coral,30,70,90,37.5,56.875
10309480,55947,Nutrient Indicator Algae,0,0,0,0,0
10309481,41591,Hard Coral,25,47.5,50,40,40.625
10309481,55949,Fleshy Seaweed,0,0,0,0,0
10309482,41592,Hard Coral,37.5,55,35,40,41.875
10309482,55950,Nutrient Indicator Algae,0,0,0,0,0
10309483,41593,Hard Coral,100,72.5,57.5,70,75
10309483,55951,Nutrient Indicator Algae,0,0,0,0,0
10309484,41594,Hard Coral,50,57.5,50,37.5,48.75
10309484,55952,Nutrient Indicator Algae,0,0,0,0,0
10309485,41595,Hard Coral,60,62.5,60,52.5,58.75
10309485,55953,Nutrient Indicator Algae,0,0,0,0,0
10309486,41597,Hard Coral,17.5,25,45,52.5,35
10309486,55955,Fleshy Seaweed,0,0,0,0,0
10309487,41596,Hard Coral,37.5,30,57.5,75,50
10309487,55954,Fleshy Seaweed,0,2.5,0,0,0.625
10309488,41598,Hard Coral,77.5,92.5,70,75,78.75
10309488,55956,Nutrient Indicator Algae,0,0,0,0,0
10309489,41599,Hard Coral,27.5,10,15,15,16.875
10309489,55957,Nutrient Indicator Algae,0,0,0,0,0
10309490,41600,Hard Coral,47.5,72.5,70,77.5,66.875
10309490,55958,Nutrient Indicator Algae,0,0,0,0,0
10309491,41601,Hard Coral,50,45,60,60,53.75
10309491,55959,Nutrient Indicator Algae,0,10,0,22.5,8.125
10309492,41602,Hard Coral,75,92.5,72.5,70,77.5
10309492,55960,Nutrient Indicator Algae,0,0,0,0,0
10309493,41605,Hard Coral,25,35,35,32.5,31.875
10309493,55964,Nutrient Indicator Algae,0,0,0,0,0
10309494,41606,Hard Coral,55,87.5,62.5,65,67.5
10309494,55962,Nutrient Indicator Algae,0,0,0,0,0
10309495,41603,Hard Coral,12.5,2.5,12.5,17.5,11.25
10309495,55961,Nutrient Indicator Algae,0,0,0,0,0
10309496,41604,Hard Coral,37.5,70,47.5,50,51.25
10309496,55963,Nutrient Indicator Algae,0,0,0,0,0
10309497,41607,Hard Coral,50,37.5,2.5,32.5,30.625
10309497,55965,Nutrient Indicator Algae,5,5,10,2.5,5.625
10309498,41609,Hard Coral,52.5,52.5,42.5,42.5,47.5
10309498,55966,Nutrient Indicator Algae,10,7.5,20,12.5,12.5
10309499,41608,Hard Coral,45,40,47.5,55,46.875
10309499,55967,Nutrient Indicator Algae,0,7.5,5,15,6.875
10309500,41610,Hard Coral,62.5,42.5,27.5,17.5,37.5
10309500,55968,Nutrient Indicator Algae,0,0,0,17.5,4.375
10309501,41611,Hard Coral,32.5,20,17.5,40,27.5
10309501,55969,Nutrient Indicator Algae,10,32.5,25,25,23.125
10309502,41612,Hard Coral,35,17.5,32.5,5,22.5
10309502,55970,Nutrient Indicator Algae,35,35,32.5,30,33.125
10309503,41613,Hard Coral,40,42.5,52.5,52.5,46.875
10309503,55972,Nutrient Indicator Algae,0,0,0,0,0
10309504,41614,Hard Coral,50,57.5,50,52.5,52.5
10309504,55971,Nutrient Indicator Algae,5,2.5,7.5,0,3.75
10309505,41621,Hard Coral,62.5,60,37.5,47.5,51.875
10309505,55979,Nutrient Indicator Algae,0,5,2.5,7.5,3.75
10309506,41622,Hard Coral,62.5,52.5,85,42.5,60.625
10309506,55980,Nutrient Indicator Algae,0,5,2.5,0,1.875
10309507,41619,Hard Coral,67.5,82.5,75,60,71.25
10309507,55976,Nutrient Indicator Algae,2.5,5,0,10,4.375
10309508,41625,Hard Coral,67.5,62.5,57.5,50,59.375
10309508,55983,Nutrient Indicator Algae,0,5,0,0,1.25
10309509,41617,Hard Coral,67.5,52.5,42.5,17.5,45
10309509,55978,Nutrient Indicator Algae,0,2.5,2.5,0,1.25
10309510,41616,Hard Coral,50,62.5,70,55,59.375
10309510,55973,Nutrient Indicator Algae,7.5,10,7.5,0,6.25
10309511,41615,Hard Coral,52.5,52.5,57.5,32.5,48.75
10309511,55974,Nutrient Indicator Algae,0,0,0,0,0
10309512,41624,Hard Coral,30,35,42.5,35,35.625
10309512,55982,Nutrient Indicator Algae,7.5,2.5,2.5,12.5,6.25
10309513,41618,Hard Coral,75,52.5,92.5,50,67.5
10309513,55975,Nutrient Indicator Algae,2.5,2.5,0,5,2.5
10309514,41620,Hard Coral,60,22.5,32.5,45,40
10309514,55977,Nutrient Indicator Algae,0,35,22.5,15,18.125
10309515,41623,Hard Coral,72.5,72.5,52.5,55,63.125
10309515,55981,Nutrient Indicator Algae,2.5,0,10,5,4.375
10309516,41628,Hard Coral,47.5,57.5,52.5,45,50.625
10309516,55986,Nutrient Indicator Algae,0,2.5,7.5,2.5,3.125
10309517,41629,Hard Coral,77.5,72.5,70,67.5,71.875
10309517,55987,Nutrient Indicator Algae,0,0,2.5,0,0.625
10309518,41626,Hard Coral,67.5,87.5,55,42.5,63.125
10309518,55984,Nutrient Indicator Algae,0,0,0,0,0
10309519,41627,Hard Coral,57.5,57.5,82.5,55,63.125
10309519,55985,Nutrient Indicator Algae,0,0,0,0,0
10309520,41630,Hard Coral,77.5,72.5,62.5,52.5,66.25
10309520,55988,Nutrient Indicator Algae,0,0,0,0,0
10309521,41631,Hard Coral,45,57.5,65,75,60.625
10309521,55989,Fleshy Seaweed,2.5,0,0,0,0.625
10309522,41632,Hard Coral,75,70,90,82.5,79.375
10309522,55990,Fleshy Seaweed,2.5,0,0,0,0.625
10309523,41643,Hard Coral,70,60,52.5,37.5,55
10309523,56001,Nutrient Indicator Algae,2.5,7.5,20,17.5,11.875
10309524,41634,Hard Coral,62.5,62.5,65,60,62.5
10309524,55992,Nutrient Indicator Algae,0,0,0,5,1.25
10309525,41640,Hard Coral,67.5,75,60,40,60.625
10309525,55997,Nutrient Indicator Algae,12.5,2.5,7.5,12.5,8.75
10309526,41635,Hard Coral,60,47.5,62.5,60,57.5
10309526,55993,Nutrient Indicator Algae,0,0,0,0,0
10309527,41639,Hard Coral,67.5,65,52.5,30,53.75
10309527,55999,Nutrient Indicator Algae,0,0,0,0,0
10309528,41642,Hard Coral,32.5,52.5,60,20,41.25
10309528,56000,Nutrient Indicator Algae,2.5,2.5,2.5,2.5,2.5
10309529,41636,Hard Coral,52.5,55,57.5,42.5,51.875
10309529,55994,Nutrient Indicator Algae,15,5,2.5,7.5,7.5
10309530,41637,Hard Coral,37.5,67.5,35,42.5,45.625
10309530,55995,Nutrient Indicator Algae,0,0,2.5,0,0.625
10309531,41638,Hard Coral,52.5,75,57.5,62.5,61.875
10309531,55996,Nutrient Indicator Algae,2.5,0,2.5,5,2.5
10309532,41644,Hard Coral,60,42.5,62.5,67.5,58.125
10309532,56002,Nutrient Indicator Algae,2.5,5,5,2.5,3.75
10309533,41641,Hard Coral,72.5,67.5,70,70,70
10309533,55998,Nutrient Indicator Algae,0,0,0,0,0
10309534,41633,Hard Coral,57.5,72.5,35,0,41.25
10309534,55991,Nutrient Indicator Algae,0,0,0,0,0
10309535,41646,Hard Coral,65,42.5,50,75,58.125
10309535,56006,Nutrient Indicator Algae,12.5,22.5,35,10,20
10309536,41651,Hard Coral,62.5,42.5,45,70,55
10309536,56009,Nutrient Indicator Algae,5,30,2.5,7.5,11.25
10309537,41650,Hard Coral,52.5,40,72.5,60,56.25
10309537,56008,Nutrient Indicator Algae,0,0,0,0,0
10309538,41648,Hard Coral,65,70,50,70,63.75
10309538,56007,Nutrient Indicator Algae,2.5,2.5,0,0,1.25
10309539,41652,Hard Coral,72.5,42.5,40,55,52.5
10309539,56010,Nutrient Indicator Algae,0,2.5,0,2.5,1.25
10309540,41657,Hard Coral,62.5,52.5,52.5,32.5,50
10309540,56015,Nutrient Indicator Algae,0,0,0,0,0
10309541,41654,Hard Coral,52.5,65,67.5,55,60
10309541,56011,Nutrient Indicator Algae,0,0,0,0,0
10309542,41653,Hard Coral,47.5,67.5,62.5,37.5,53.75
10309542,56013,Nutrient Indicator Algae,0,2.5,0,5,1.875
10309543,41656,Hard Coral,70,67.5,45,32.5,53.75
10309543,56016,Nutrient Indicator Algae,0,0,0,0,0
10309544,41649,Hard Coral,67.5,52.5,35,52.5,51.875
10309544,56004,Nutrient Indicator Algae,0,0,0,0,0
10309545,41645,Hard Coral,40,27.5,62.5,40,42.5
10309545,56003,Nutrient Indicator Algae,0,0,7.5,2.5,2.5
10309546,41647,Hard Coral,60,65,57.5,40,55.625
10309546,56005,Nutrient Indicator Algae,0,0,0,0,0
10309547,41658,Hard Coral,47.5,35,70,67.5,55
10309547,56012,Nutrient Indicator Algae,5,5,5,5,5
10309548,41655,Hard Coral,47.5,62.5,40,55,51.25
10309548,56014,Nutrient Indicator Algae,7.5,2.5,5,0,3.75
10309549,41660,Hard Coral,42.5,62.5,50,62.5,54.375
10309549,56018,Nutrient Indicator Algae,0,5,7.5,2.5,3.75
10309550,41659,Hard Coral,25,45,45,60,43.75
10309550,56017,Nutrient Indicator Algae,2.5,5,0,5,3.125
10309551,41661,Hard Coral,45,55,55,57.5,53.125
10309551,56019,Nutrient Indicator Algae,0,2.5,10,0,3.125
10309552,41662,Hard Coral,52.5,72.5,60,80,66.25
10309552,56021,Nutrient Indicator Algae,0,0,0,0,0
10309553,41663,Hard Coral,65,37.5,62.5,52.5,54.375
10309553,56020,Nutrient Indicator Algae,0,0,0,0,0
10309554,41673,Hard Coral,32.5,25,20,25,25.625
10309554,56031,Nutrient Indicator Algae,22.5,32.5,10,2.5,16.875
10309555,41671,Hard Coral,62.5,45,35,40,45.625
10309555,56029,Nutrient Indicator Algae,2.5,2.5,0,2.5,1.875
10309556,41670,Hard Coral,45,40,15,45,36.25
10309556,56027,Nutrient Indicator Algae,0,7.5,2.5,2.5,3.125
10309557,41665,Hard Coral,22.5,32.5,45,32.5,33.125
10309557,56023,Nutrient Indicator Algae,0,2.5,0,10,3.125
10309558,41667,Hard Coral,47.5,47.5,57.5,30,45.625
10309558,56024,Nutrient Indicator Algae,0,2.5,2.5,0,1.25
10309559,41669,Hard Coral,25,17.5,22.5,12.5,19.375
10309559,56028,Nutrient Indicator Algae,0,5,0,0,1.25
10309560,41668,Hard Coral,32.5,65,47.5,10,38.75
10309560,56026,Nutrient Indicator Algae,5,10,2.5,7.5,6.25
10309561,41674,Hard Coral,42.5,55,37.5,50,46.25
10309561,56032,Nutrient Indicator Algae,0,5,0,0,1.25
10309562,41666,Hard Coral,35,12.5,17.5,0,16.25
10309562,56025,Nutrient Indicator Algae,7.5,17.5,20,5,12.5
10309563,41672,Hard Coral,35,20,22.5,17.5,23.75
10309563,56030,Nutrient Indicator Algae,7.5,7.5,2.5,2.5,5
10309564,41664,Hard Coral,35,20,10,40,26.25
10309564,56022,Nutrient Indicator Algae,15,17.5,17.5,7.5,14.375
10309565,41677,Hard Coral,27.5,27.5,15,2.5,18.125
10309565,56034,Nutrient Indicator Algae,2.5,10,2.5,0,3.75
10309566,41682,Hard Coral,57.5,27.5,30,20,33.75
10309566,56039,Nutrient Indicator Algae,0,0,0,0,0
10309567,41681,Hard Coral,17.5,7.5,35,17.5,19.375
10309567,56038,Nutrient Indicator Algae,15,15,5,15,12.5
10309568,41683,Hard Coral,25,12.5,25,20,20.625
10309568,56041,Nutrient Indicator Algae,0,0,2.5,7.5,2.5
10309569,41684,Hard Coral,17.5,12.5,17.5,15,15.625
10309569,56042,Nutrient Indicator Algae,5,5,12.5,7.5,7.5
10309570,41676,Hard Coral,45,12.5,10,12.5,20
10309570,56033,Nutrient Indicator Algae,0,5,2.5,5,3.125
10309571,41678,Hard Coral,15,22.5,22.5,12.5,18.125
10309571,56036,Nutrient Indicator Algae,10,5,20,27.5,15.625
10309572,41680,Hard Coral,27.5,40,22.5,25,28.75
10309572,56040,Nutrient Indicator Algae,2.5,0,2.5,0,1.25
10309573,41685,Hard Coral,40,27.5,12.5,20,25
10309573,56043,Nutrient Indicator Algae,0,0,0,0,0
10309574,41679,Hard Coral,32.5,20,22.5,17.5,23.125
10309574,56037,Nutrient Indicator Algae,0,7.5,5,7.5,5
10309575,41675,Hard Coral,12.5,27.5,10,27.5,19.375
10309575,56035,Nutrient Indicator Algae,0,10,0,2.5,3.125
10309576,41686,Hard Coral,52.5,55,80,50,59.375
10309576,56045,Nutrient Indicator Algae,17.5,10,10,2.5,10
10309577,41687,Hard Coral,65,87.5,60,75,71.875
10309577,56044,Nutrient Indicator Algae,15,0,2.5,0,4.375
10309578,41688,Hard Coral,67.5,60,72.5,85,71.25
10309578,56046,Nutrient Indicator Algae,2.5,0,0,0,0.625
10309579,41689,Hard Coral,60,67.5,60,55,60.625
10309579,56047,Nutrient Indicator Algae,5,7.5,5,7.5,6.25
10309580,41690,Hard Coral,40,55,67.5,77.5,60
10309580,56048,Nutrient Indicator Algae,0,0,0,0,0
10309581,41700,Hard Coral,15,40,5,25,21.25
10309581,56053,Nutrient Indicator Algae,7.5,10,12.5,20,12.5
10309582,41701,Hard Coral,15,17.5,15,22.5,17.5
10309582,56059,Nutrient Indicator Algae,7.5,5,10,17.5,10
10309583,41695,Hard Coral,32.5,10,7.5,27.5,19.375
10309583,56054,Nutrient Indicator Algae,7.5,15,2.5,0,6.25
10309584,41702,Hard Coral,20,20,30,37.5,26.875
10309584,56060,Nutrient Indicator Algae,5,2.5,0,0,1.875
10309585,41693,Hard Coral,12.5,25,17.5,22.5,19.375
10309585,56051,Nutrient Indicator Algae,0,12.5,22.5,15,12.5
10309586,41692,Hard Coral,70,22.5,20,12.5,31.25
10309586,56049,Nutrient Indicator Algae,0,12.5,10,2.5,6.25
10309587,41698,Hard Coral,5,10,32.5,12.5,15
10309587,56057,Nutrient Indicator Algae,10,2.5,7.5,0,5
10309588,41699,Hard Coral,7.5,7.5,17.5,10,10.625
10309588,56058,Nutrient Indicator Algae,50,30,7.5,2.5,22.5
10309589,41703,Hard Coral,27.5,55,5,35,30.625
10309589,56061,Nutrient Indicator Algae,37.5,17.5,30,12.5,24.375
10309590,41696,Hard Coral,22.5,5,10,32.5,17.5
10309590,56055,Nutrient Indicator Algae,0,2.5,7.5,12.5,5.625
10309591,41691,Hard Coral,25,35,30,27.5,29.375
10309591,56050,Nutrient Indicator Algae,0,0,0,0,0
10309592,41694,Hard Coral,32.5,15,27.5,42.5,29.375
10309592,56052,Nutrient Indicator Algae,2.5,7.5,0,7.5,4.375
10309593,41704,Hard Coral,15,32.5,20,10,19.375
10309593,56062,Nutrient Indicator Algae,7.5,5,0,0,3.125
10309594,41697,Hard Coral,32.5,12.5,15,10,17.5
10309594,56056,Nutrient Indicator Algae,2.5,0,0,0,0.625
10309595,41705,Hard Coral,67.5,37.5,45,17.5,41.875
10309595,56063,Nutrient Indicator Algae,0,0,0,0,0
10309596,41707,Hard Coral,5,7.5,10,7.5,7.5
10309596,56064,Nutrient Indicator Algae,0,0,2.5,2.5,1.25
10309597,41706,Hard Coral,27.5,30,32.5,40,32.5
10309597,56065,Nutrient Indicator Algae,0,2.5,0,2.5,1.25
10309598,41708,Hard Coral,12.5,17.5,17.5,12.5,15
10309598,56066,Nutrient Indicator Algae,2.5,2.5,2.5,2.5,2.5
10309599,41709,Hard Coral,17.5,17.5,25,25,21.25
10309599,56067,Nutrient Indicator Algae,0,0,0,0,0
10309600,41710,Hard Coral,7.5,22.5,25,20,18.75
10309600,56068,Nutrient Indicator Algae,2.5,0,0,0,0.625
10309601,41711,Hard Coral,12.5,7.5,10,10,10
10309601,56069,Nutrient Indicator Algae,2.5,2.5,2.5,0,1.875
10309602,41712,Hard Coral,2.5,7.5,7.5,15,8.125
10309602,56070,Nutrient Indicator Algae,0,0,0,0,0
10309603,41713,Hard Coral,10,20,10,10,12.5
10309603,56071,Nutrient Indicator Algae,0,2.5,0,0,0.625
10309604,41714,Hard Coral,12.5,10,7.5,17.5,11.875
10309604,56072,Nutrient Indicator Algae,0,0,0,2.5,0.625
10309605,41715,Hard Coral,2.5,7.5,7.5,15,8.125
10309605,56073,Nutrient Indicator Algae,0,0,0,0,0
10309606,41717,Hard Coral,17.5,25,10,12.5,16.25
10309606,56074,Nutrient Indicator Algae,0,0,0,0,0
10309607,41716,Hard Coral,5,12.5,2.5,10,7.5
10309607,56075,Nutrient Indicator Algae,0,2.5,5,2.5,2.5
10309608,41718,Hard Coral,5,5,10,17.5,9.375
10309608,56076,Nutrient Indicator Algae,5,0,0,2.5,1.875
10309609,41719,Hard Coral,32.5,47.5,27.5,47.5,38.75
10309609,56077,Nutrient Indicator Algae,0,0,0,5,1.25
10309610,41720,Hard Coral,0,0,2.5,87.5,22.5
10309610,56078,Nutrient Indicator Algae,50,52.5,42.5,0,36.25
10309611,41722,Hard Coral,42.5,50,75,67.5,58.75
10309611,56080,Nutrient Indicator Algae,0,0,0,0,0
10309612,41727,Hard Coral,75,80,87.5,87.5,82.5
10309612,56085,Fleshy Seaweed,0,0,0,0,0
10309613,41723,Hard Coral,60,55,60,65,60
10309613,56081,Nutrient Indicator Algae,0,0,0,0,0
10309614,41724,Hard Coral,65,57.5,50,70,60.625
10309614,56082,Nutrient Indicator Algae,0,0,0,0,0
10309615,41726,Hard Coral,60,60,50,62.5,58.125
10309615,56083,Nutrient Indicator Algae,0,0,0,0,0
10309616,41721,Hard Coral,50,75,80,67.5,68.125
10309616,56079,Nutrient Indicator Algae,0,0,0,0,0
10309617,41725,Hard Coral,57.5,52.5,50,70,57.5
10309617,56084,Nutrient Indicator Algae,0,0,0,0,0
10309618,41728,Hard Coral,77.5,62.5,62.5,65,66.875
10309618,56086,Fleshy Seaweed,0,0,0,0,0
10309619,41732,Hard Coral,2.5,72.5,65,10,37.5
10309619,56089,Fleshy Seaweed,0,0,0,0,0
10309620,41735,Hard Coral,5,70,55,7.5,34.375
10309620,56093,Nutrient Indicator Algae,0,0,0,0,0
10309621,41731,Hard Coral,20,50,42.5,30,35.625
10309621,56088,Nutrient Indicator Algae,0,0,0,0,0
10309622,41733,Hard Coral,30,47.5,42.5,35,38.75
10309622,56091,Nutrient Indicator Algae,0,0,0,0,0
10309623,41734,Hard Coral,90,55,47.5,0,48.125
10309623,56090,Nutrient Indicator Algae,0,0,0,0,0
10309624,41736,Hard Coral,55,45,35,27.5,40.625
10309624,56094,Nutrient Indicator Algae,0,0,0,0,0
10309625,41729,Hard Coral,67.5,55,42.5,15,45
10309625,56087,Nutrient Indicator Algae,0,0,0,0,0
10309626,41730,Hard Coral,22.5,72.5,60,5,40
10309626,56092,Nutrient Indicator Algae,0,0,0,0,0
10309627,41737,Hard Coral,50,67.5,55,62.5,58.75
10309627,56095,Nutrient Indicator Algae,0,0,0,0,0
10309628,41739,Hard Coral,50,65,55,57.5,56.875
10309628,56097,Nutrient Indicator Algae,0,0,0,0,0
10309629,41738,Hard Coral,50,60,62.5,65,59.375
10309629,56096,Nutrient Indicator Algae,0,0,0,0,0
10309630,41741,Hard Coral,12.5,25,12.5,22.5,18.125
10309630,56099,Nutrient Indicator Algae,0,0,0,0,0
10309631,41742,Hard Coral,47.5,50,52.5,30,45
10309631,56100,Nutrient Indicator Algae,0,0,0,0,0
10309632,41740,Hard Coral,27.5,40,45,22.5,33.75
10309632,56098,Fleshy Seaweed,0,0,0,0,0
10309633,41743,Hard Coral,50,50,52.5,35,46.875
10309633,56101,Nutrient Indicator Algae,0,0,0,0,0
10309634,41744,Hard Coral,35,17.5,27.5,17.5,24.375
10309634,56102,Fleshy Seaweed,0,0,0,0,0
10309635,41745,Hard Coral,65,62.5,92.5,95,78.75
10309635,56104,Nutrient Indicator Algae,0,0,0,0,0
10309636,41746,Hard Coral,75,42.5,90,92.5,75
10309636,56103,Nutrient Indicator Algae,0,0,0,0,0
10309637,41747,Hard Coral,5,12.5,10,30,14.375
10309637,56105,Nutrient Indicator Algae,0,0,0,0,0
10309638,41749,Hard Coral,60,45,55,60,55
10309638,56106,Nutrient Indicator Algae,0,0,0,0,0
10309639,41748,Hard Coral,42.5,70,45,32.5,47.5
10309639,56108,Nutrient Indicator Algae,0,0,0,0,0
10309640,41750,Hard Coral,32.5,0,77.5,45,38.75
10309640,56107,Nutrient Indicator Algae,0,0,0,0,0
10309641,41752,Hard Coral,55,47.5,57.5,42.5,50.625
10309641,56110,Nutrient Indicator Algae,0,0,0,0,0
10309642,41751,Hard Coral,55,50,60,42.5,51.875
10309642,56109,Nutrient Indicator Algae,0,0,0,0,0
10309643,41753,Hard Coral,17.5,35,32.5,27.5,28.125
10309643,56111,Nutrient Indicator Algae,0,0,0,0,0
10309644,41755,Hard Coral,52.5,25,17.5,22.5,29.375
10309644,56113,Nutrient Indicator Algae,0,0,0,0,0
10309645,41754,Hard Coral,50,30,50,25,38.75
10309645,56112,Nutrient Indicator Algae,0,0,0,0,0
10309646,41756,Hard Coral,62.5,55,47.5,22.5,46.875
10309646,56114,Fleshy Seaweed,0,0,0,0,0
10309647,41757,Hard Coral,45,42.5,45,27.5,40
10309647,56116,Nutrient Indicator Algae,0,0,0,0,0
10309648,41758,Hard Coral,52.5,45,45,27.5,42.5
10309648,56115,Nutrient Indicator Algae,0,0,0,0,0
10309649,41760,Hard Coral,42.5,45,37.5,27.5,38.125
10309649,56118,Nutrient Indicator Algae,0,0,0,0,0
10309650,41759,Hard Coral,37.5,35,42.5,27.5,35.625
10309650,56117,Nutrient Indicator Algae,0,0,0,0,0
10309651,41765,Hard Coral,62.5,27.5,90,90,67.5
10309651,56123,Nutrient Indicator Algae,0,0,0,0,0
10309652,41763,Hard Coral,85,77.5,75,67.5,76.25
10309652,56121,Nutrient Indicator Algae,0,0,0,0,0
10309653,41766,Hard Coral,60,65,67.5,62.5,63.75
10309653,56124,Nutrient Indicator Algae,0,0,0,0,0
10309654,41762,Hard Coral,62.5,77.5,72.5,55,66.875
10309654,56120,Nutrient Indicator Algae,0,0,0,0,0
10309655,41761,Hard Coral,67.5,57.5,62.5,65,63.125
10309655,56119,Nutrient Indicator Algae,0,0,0,0,0
10309656,41764,Hard Coral,70,65,67.5,57.5,65
10309656,56122,Nutrient Indicator Algae,0,0,0,0,0
10309657,41767,Hard Coral,72.5,65,62.5,67.5,66.875
10309657,56125,Nutrient Indicator Algae,0,0,0,0,0
10309658,41770,Hard Coral,55,57.5,75,62.5,62.5
10309658,56127,Nutrient Indicator Algae,0,0,0,0,0
10309659,41769,Hard Coral,65,57.5,70,72.5,66.25
10309659,56128,Nutrient Indicator Algae,0,0,0,0,0
10309660,41768,Hard Coral,50,85,85,42.5,65.625
10309660,56126,Nutrient Indicator Algae,0,0,0,0,0
10309661,41772,Hard Coral,45,17.5,37.5,65,41.25
10309661,56130,Nutrient Indicator Algae,0,0,0,0,0
10309662,41774,Hard Coral,72.5,77.5,72.5,77.5,75
10309662,56133,Nutrient Indicator Algae,0,0,0,0,0
10309663,41771,Hard Coral,62.5,52.5,55,82.5,63.125
10309663,56129,Nutrient Indicator Algae,0,0,0,0,0
10309664,41776,Hard Coral,65,52.5,72.5,72.5,65.625
10309664,56134,Nutrient Indicator Algae,0,0,0,0,0
10309665,41775,Hard Coral,70,70,65,42.5,61.875
10309665,56132,Nutrient Indicator Algae,0,0,0,0,0
10309666,41773,Hard Coral,65,52.5,72.5,72.5,65.625
10309666,56131,Nutrient Indicator Algae,0,0,0,0,0
10309667,41777,Hard Coral,47.5,52.5,50,67.5,54.375
10309667,56135,Nutrient Indicator Algae,0,0,0,0,0
10309668,41781,Hard Coral,60,47.5,55,60,55.625
10309668,56139,Nutrient Indicator Algae,0,0,0,0,0
10309669,41779,Hard Coral,57.5,42.5,67.5,42.5,52.5
10309669,56138,Nutrient Indicator Algae,0,0,0,0,0
10309670,41780,Hard Coral,92.5,92.5,2.5,0,46.875
10309670,56137,Nutrient Indicator Algae,0,0,0,0,0
10309671,41778,Hard Coral,65,60,45,30,50
10309671,56136,Nutrient Indicator Algae,0,0,0,0,0
10309672,41789,Hard Coral,57.5,50,62.5,55,56.25
10309672,56145,Nutrient Indicator Algae,0,0,0,0,0
10309673,41790,Hard Coral,47.5,50,42.5,70,52.5
10309673,56149,Nutrient Indicator Algae,0,0,0,0,0
10309674,41784,Hard Coral,85,32.5,10,25,38.125
10309674,56142,Fleshy Seaweed,0,0,0,0,0
10309675,41782,Hard Coral,47.5,52.5,52.5,50,50.625
10309675,56141,Fleshy Seaweed,0,0,0,0,0
10309676,41788,Hard Coral,50,40,77.5,35,50.625
10309676,56148,Nutrient Indicator Algae,0,0,0,0,0
10309677,41785,Hard Coral,67.5,52.5,62.5,60,60.625
10309677,56143,Nutrient Indicator Algae,0,0,0,0,0
10309678,41791,Hard Coral,65,55,65,57.5,60.625
10309678,56147,Nutrient Indicator Algae,0,0,0,0,0
10309679,41786,Hard Coral,67.5,55,57.5,57.5,59.375
10309679,56144,Nutrient Indicator Algae,0,0,0,0,0
10309680,41783,Hard Coral,72.5,65,67.5,42.5,61.875
10309680,56140,Nutrient Indicator Algae,0,0,0,0,0
10309681,41787,Hard Coral,75,60,62.5,47.5,61.25
10309681,56146,Nutrient Indicator Algae,0,0,0,0,0
10309682,41792,Hard Coral,40,52.5,55,35,45.625
